,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
8153,0.01088451,0.38384425,0.0955114,-0.7543045,0.48233575,-0.05835675,0.3820817,-0.2112154,0.1293404,0.3234,87.26618705
8154,0.01110699,0.47269675,0.10499332,-0.6218615,0.33312555,-0.06789715,0.3371291,-0.1578558,0.1180116,3.7762,151.6503268
8155,0.01337877,0.48093025,0.11911012,-0.7153285,0.46628025,-0.06860785,0.3248091,-0.2192714,0.1251124,0.3414,97.82122905
8156,0.01479303,0.48612775,0.10058284,-0.7106305,0.46665515,-0.06711285,0.4562943,-0.212211,0.1577828,1.229,114.8362235
8157,0.01317843,0.40184575,0.10568692,-0.7944985,0.34140595,-0.06005185,0.3722103,-0.185801,0.1193948,3.1946,142.8139905
8158,0.01147149,0.44124775,0.11175388,-0.8208595,0.43369655,-0.04746855,0.3535763,-0.2220378,0.143962,0.8058,113.3631485
8159,0.01602693,0.43911925,0.09922828,-0.8375635,0.37632055,-0.05282065,0.3127817,-0.2145746,0.152502,1.175,118.8135593
8160,0.01157031,0.41323075,0.10698436,-0.5860175,0.36378585,-0.06533955,0.3800797,-0.1664514,0.1624252,1.9546,116.6666667
8161,0.01174797,0.37155175,0.10780036,-0.8037785,0.33245725,-0.06869755,0.3850231,-0.1712166,0.1510292,0.9198,97.73553719
8162,0.01604475,0.42428575,0.11714764,-0.7037285,0.37886335,-0.06353175,0.4111723,-0.1779882,0.1569428,2.765,134.6865204
8163,0.01437399,0.48264625,0.1204402,-0.7024525,0.45801615,-0.06358235,0.3501729,-0.2126214,0.1498756,0.8258,109.8913043
8164,0.01147635,0.34668625,0.10416508,-0.7463585,0.47762505,-0.05854305,0.3931235,-0.1865382,0.145054,0.5058,86.70454545
8165,0.01456623,0.43862425,0.12231292,-0.8205405,0.33729835,-0.05911345,0.4387383,-0.2158286,0.1280748,0.179,105.0086957
8166,0.01258875,0.39691225,0.0880246,-0.6012425,0.33830895,-0.06425855,0.4584503,-0.187815,0.1241828,0.6534,98.50987433
8167,0.01591947,0.43507675,0.09462196,-0.7832465,0.43459305,-0.05548635,0.3180023,-0.1883622,0.155386,1.0514,107.1401152
