,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
175,0.01538325,0.38953675,0.10953436,-0.8678975,0.33535865,-0.04774685,0.4304223,-0.2251234,0.167902,1.169,122.0401338
176,0.01227339,0.47226775,0.10155388,-0.7699355,0.47200155,-0.05828545,0.4411869,-0.2016394,0.115262,3.3698,154.8767606
177,0.01517859,0.45957925,0.08953828,-0.6943615,0.46641065,-0.06772465,0.4117267,-0.2207078,0.1448636,1.9958,125.2
178,0.01514619,0.36221275,0.11491996,-0.8536875,0.34132445,-0.04930625,0.4329633,-0.2141414,0.129206,2.6374,136.8188513
179,0.01418391,0.43349275,0.09879172,-0.8007625,0.47640255,-0.06657465,0.4455913,-0.2120666,0.1260812,1.7338,119.2764378
180,0.01128789,0.44669275,0.09283084,-0.7514915,0.42489455,-0.05082425,0.3892735,-0.1915238,0.137298,2.6718,142.6126126
181,0.01449873,0.36145375,0.098959,-0.7615835,0.39935245,-0.05320245,0.3457839,-0.1701906,0.1445164,2.4926,126.3768116
182,0.01548531,0.49045075,0.11077876,-0.6160615,0.42277555,-0.05070235,0.3867171,-0.2096042,0.1140356,0.8254,119.2265193
183,0.01388853,0.40663075,0.09360604,-0.8379115,0.42375355,-0.05768055,0.3992219,-0.197999,0.1575588,1.2086,108.7569573
184,0.01375299,0.35100925,0.12023212,-0.6252835,0.35856985,-0.05856835,0.3202815,-0.207157,0.1550332,2.6698,103.7817259
185,0.01144611,0.47368675,0.10426708,-0.8385785,0.35884695,-0.04619895,0.4053973,-0.1549678,0.1420692,3.3634,161.3286713
186,0.01482327,0.44024125,0.09930988,-0.6773095,0.43216435,-0.05810375,0.3775233,-0.2019966,0.1276044,3.7974,152.8571429
187,0.01412397,0.47710225,0.10431604,-0.7803755,0.38877375,-0.06692655,0.3772615,-0.2096726,0.1419964,0.8938,110.3639847
188,0.01505439,0.45439825,0.10182724,-0.6536165,0.34380205,-0.05827855,0.3369443,-0.2248574,0.12327,1.0254,118.8321168
189,0.01492911,0.46626175,0.10127236,-0.8300815,0.44130865,-0.04928325,0.3554089,-0.1920102,0.1248996,0.803,109.2115385
190,0.01598265,0.46147675,0.10268404,-0.7561025,0.44848065,-0.05891335,0.4190417,-0.1973682,0.165746,3.5478,153.8330494
191,0.01137537,0.42403825,0.09296956,-0.6173085,0.35178905,-0.06586625,0.4562635,-0.2118538,0.1539132,3.5026,145.7416268
192,0.01614411,0.35906125,0.09758404,-0.7747785,0.37620645,-0.05560135,0.4547543,-0.181089,0.1199884,1.1738,109.2517007
193,0.01357641,0.40324825,0.09540124,-0.6848205,0.35090885,-0.05926985,0.4565715,-0.2185114,0.1335068,2.9742,142.0450886
194,0.01509651,0.37747525,0.12032596,-0.7840585,0.45695665,-0.06444025,0.3166471,-0.176833,0.1293572,0.0026,77.89303079
195,0.01101897,0.45111475,0.089371,-0.7476345,0.35441335,-0.05362565,0.3107027,-0.2247662,0.1596588,2.3706,140.8608059
196,0.01150227,0.40633375,0.10165588,-0.5939345,0.39964585,-0.04945805,0.3330635,-0.2046794,0.1398796,1.055,110.3361345
197,0.01556577,0.34386475,0.1118518,-0.7495195,0.44323205,-0.05469975,0.3430273,-0.1680474,0.1603196,1.4662,103.8343558
198,0.01616355,0.48528625,0.08647828,-0.6010975,0.37760825,-0.04756975,0.3854235,-0.1652886,0.1594852,3.835,147.7602524
199,0.01196667,0.43039075,0.12358588,-0.8402895,0.32574165,-0.06212645,0.3560403,-0.1868118,0.1534372,3.5142,147.9666161
